file_id	speaker	gender	Welsh	lexeme	vowel	vtype	next_cons	Ctype	dur_vwl	dur_cns	breath_dur_ms	brNORM	preasp_dur_ms	PRE_DUR	PRE_DUR_NORM	preNORM	br	pre	PRE	closure_dur_ms	burst_dur_ms	f0_ofst_rt	jitter	shimmer	max_F0	mean_F0	mean_f1_Hz	mean_f2_Hz	mean_f3_Hz	vwl_intensity_dB	zcr_1	zcr_2	zcr_3	zcr_4	zcr_5	zcr_breath	zcr_preasp	ZCR
Emily-cwpan-1	4	F	L2	cwpan	w	mon	1p	fortis	68	459	0	NA	0	0	NA	NA	2no	2no	2no	111	59	-79	0.023	0.052	279	265	495	815	2867	73	1100	1100	1067	1000	700	0	0	0
Emily-gwlyb-1	4	F	L2	gwlyb	y	mon	b	lenis	NA	210	0	NA	0	0	NA	NA	2no	2no	2no	88	112	-0.4	0.018	0.048	262	175	530	1843	3162	69	967	1025	1246	1108	1142	0	0	0
Emily-pobl-1	4	F	L2	pobl	o	mon	b	lenis	67	330	0	NA	0	0	NA	NA	2no	2no	2no	105	23	-80	0.015	0.094	270	247	710	1023	2759	77	1600	1467	1433	1400	1100	0	0	0
Emily-bod-1	4	F	L2	bod	o	mon	d	lenis	252	124	0	NA	0	0	NA	NA	2no	2no	2no	81	32	-26	0.002	0.026	230	226	647	1040	3255	76	1330	1370	1350	1350	1289	0	0	0
Emily-odl-1	4	F	L2	odl	o	mon	d	lenis	75	280	0	NA	0	0	NA	NA	2no	2no	2no	112	17	-79	0.015	0.095	112	110	715	1048	2963	72	1550	1567	1200	1133	900	0	0	0
Emily-cig-1	4	F	L2	cig	i	mon	g	lenis	230	120	0	NA	0	0	NA	NA	2no	2no	2no	76	34	-30	0.011	0.057	271	229	468	2734	3337	68	989	922	922	867	833	0	0	0
Gareth-taclus-1	5	M	L2	taclus	a	mon	3k	fortis	110	366	0	NA	0	0	NA	NA	2no	2no	2no	71	62	-76	0.015	0.155	117	115	704	1301	2608	65	1250	1400	1400	1100	875	0	0	0
Gareth-tocyn-1	5	M	L2	tocyn	o	mon	3k	fortis	74	328	0	NA	0	0	NA	NA	2no	2no	2no	75	63	-78	0.019	0.17	122	119	526	994	2599	64	1200	1133	1100	867	1000	0	0	0
Gareth-lwc-1	5	M	L2	lwc	w	mon	3k	fortis	109	157	0	NA	0	0	NA	NA	2no	2no	2no	78	69	-17	0.017	0.107	121	114	398	914	2781	62	500	725	660	900	750	0	0	0
Gareth-lwcus-1	5	M	L2	lwcus	w	mon	3k	fortis	59	374	0	NA	0	0	NA	NA	2no	2no	2no	80	58	-70	0.018	0.166	122	115	373	1228	3088	63	500	450	600	900	350	0	0	0
Gareth-ap-1	5	M	L2	ap	a	mon	1p	fortis	125	242	0	NA	0	0	NA	NA	2no	2no	2no	183	48	12	0.036	0.073	756	215	765	1179	2161	68	1575	1660	1640	1600	1640	0	0	0
Gareth-cip-1	5	M	L2	cip	i	mon	1p	fortis	97	183	0	NA	0	0	NA	NA	2no	2no	2no	107	65	2	0.041	0.217	123	119	390	2114	2865	61	667	1025	800	875	633	0	0	0
Gareth-tipyn-1	5	M	L2	tipyn	i	mon	1p	fortis	54	301	0	NA	0	0	NA	NA	2no	2no	2no	74	27	-79	0.082	0.177	124	119	351	2106	2726	60	700	850	600	650	450	0	0	0
Gareth-tipyn-2	5	M	L2	tipyn	i	mon	1p	fortis	63	301	0	NA	0	0	NA	NA	2no	2no	2no	67	28	-78	0.043	0.223	119	114	365	1917	3020	60	650	733	500	433	350	0	0	0
Gareth-tâp-1	5	M	L2	tâp	a	mon	1p	fortis	219	165	0	NA	0	0	NA	NA	2no	2no	2no	91	64	3	0.013	0.101	126	112	735	1154	2322	69	1413	1411	1344	1478	1150	0	0	0
Gareth-cwpan-1	5	M	L2	cwpan	w	mon	1p	fortis	63	339	0	NA	0	0	NA	NA	2no	2no	2no	64	51	-80	0.031	0.12	127	118	443	1199	2965	62	450	700	550	600	1050	0	0	0
Gareth-atatti-1	5	M	L2	atat ti	a	mon	2t	fortis	99	355	0	NA	0	0	NA	NA	2no	2no	2no	57	76	-79	0.021	0.191	114	112	570	1112	2581	63	833	900	725	475	450	0	0	0
Gareth-cot-1	5	M	L2	cot	o	mon	2t	fortis	233	162	0	NA	0	0	NA	NA	2no	2no	2no	59	93	-6	0.015	0.083	122	113	530	996	2788	66	944	1089	1044	1110	833	0	0	0
Gareth-petawn-1	5	M	L2	petawn	e	mon	2t	fortis	53	437	0	NA	0	0	NA	NA	2no	2no	2no	35	62	-78	0.033	0.199	132	121	487	1522	2389	63	1850	850	650	700	700	0	0	0
Gareth-tatws-1	5	M	L2	tatws	a	mon	2t	fortis	62	302	0	NA	0	0	NA	NA	2no	2no	2no	65	64	-78	0.094	0.027	122	112	666	1221	2718	60	1100	1300	1133	1150	1150	0	0	0
Gareth-baban-1	5	M	L2	baban	a	mon	b	lenis	85	298	0	NA	0	0	NA	NA	2no	2no	2no	109	10	-77	0.032	0.104	140	116	623	1060	2445	66	1167	1167	1100	1133	833	0	0	0
Gareth-gwlyb-1	5	M	L2	gwlyb	y	mon	b	lenis	NA	140	0	NA	0	0	NA	NA	2no	2no	2no	63	67	9	0.01	0.054	116	110	391	1618	2685	62	525	663	813	1300	814	0	0	0
Gareth-pobl-1	5	M	L2	pobl	o	mon	b	lenis	48	293	0	NA	0	0	NA	NA	2no	2no	2no	107	97	-78	0.042	0.105	123	118	469	1088	2794	63	1500	950	750	550	300	0	0	0
Gareth-ruban-1	5	M	L2	ruban	u	mon	b	lenis	NA	375	0	NA	0	0	NA	NA	2no	2no	2no	92	11	-79	0.013	0.152	120	117	343	1873	2702	64	467	467	475	467	633	0	0	0
Gareth-bedydd-1	5	M	L2	bedydd	e	mon	d	lenis	101	319	0	NA	0	0	NA	NA	2no	2no	2no	81	27	-78	0.068	0.081	--undefined--	--undefined--	536	1629	2713	58	1175	1125	1100	1300	767	0	0	0
Gareth-blodyn-1	5	M	L2	blodyn	o	mon	d	lenis	NA	296	0	NA	0	0	NA	NA	2no	2no	2no	102	20	-78	0.036	0.172	107	104	508	944	2791	64	633	875	1150	1200	1067	0	0	0
Gareth-bod-1	5	M	L2	bod	o	mon	d	lenis	94	132	0	NA	0	0	NA	NA	2no	2no	2no	85	37	-17	0.025	0.098	120	114	550	855	2806	64	1067	1050	1075	1500	767	0	0	0
Gareth-budr-1	5	M	L2	budr	u	mon	d	lenis	66	371	0	NA	0	0	NA	NA	2no	2no	2no	86	36	-78	0.055	--undefined--	121	116	394	1861	2612	63	750	833	1300	600	350	0	0	0
Gareth-dadl-1	5	M	L2	dadl	a	mon	d	lenis	118	231	0	NA	0	0	NA	NA	2no	2no	2no	63	37	-76	0.015	0.075	117	112	603	1217	2413	64	950	1200	1180	1000	740	0	0	0
Gareth-gwydr-1	5	M	L2	gwydr	wy	diph	d	lenis	NA	301	0	NA	0	0	NA	NA	2no	2no	2no	85	32	-79	0.012	0.085	129	124	346	1515	2471	66	500	500	600	500	367	0	0	0
Gareth-odl-1	5	M	L2	odl	o	mon	d	lenis	75	171	0	NA	0	0	NA	NA	2no	2no	2no	44	40	60	--undefined--	--undefined--	--undefined--	--undefined--	628	936	2760	59	1433	1367	1133	1267	450	0	0	0
Gareth-pedwar-1	5	M	L2	pedwar	e	mon	d	lenis	57	404	0	NA	0	0	NA	NA	2no	2no	2no	72	43	-79	0.041	0.105	123	119	525	1694	2539	62	850	900	1000	567	500	0	0	0
Gareth-cwd-1	5	M	L2	cwd	w	mon	d	lenis	189	113	0	NA	0	0	NA	NA	2no	2no	2no	76	27	-36	0.014	0.072	126	115	337	808	2659	65	714	650	486	538	743	0	0	0
Gareth-rwdins-1	5	M	L2	rwdins	w	mon	d	lenis	57	377	0	NA	0	0	NA	NA	2no	2no	2no	83	30	-79	0.007	0.086	122	117	405	1012	2585	61	800	500	450	500	200	0	0	0
Gareth-digon-1	5	M	L2	digon	i	mon	g	lenis	74	273	0	NA	0	0	NA	NA	2no	2no	2no	67	35	-78	0.041	0.083	127	115	333	2020	2543	64	600	500	467	600	867	0	0	0
Gareth-diogel-1	5	M	L2	diogel	io	diph	g	lenis	146	293	0	NA	0	0	NA	NA	2no	2no	2no	70	32	-79	0.016	0.13	118	112	483	1641	2616	64	680	733	817	1067	1080	0	0	0
George-clec-1	6	M	L2	clec	e	mon	3k	fortis	NA	174	0	NA	0	0	NA	NA	2no	2no	2no	140	24	-4	0.056	0.105	104	98	572	1171	2895	70	967	967	1100	1300	1000	0	0	0
George-tipyn-2	6	M	L2	tipyn	i	mon	1p	fortis	37	382	0	NA	0	0	NA	NA	2no	2no	2no	87	36	-78	0.037	--undefined--	113	109	481	1902	3060	67	800	900	1200	2200	1900	0	0	0
George-twp-1	6	M	L2	twp	w	mon	1p	fortis	93	200	0	NA	0	0	NA	NA	2no	2no	2no	114	76	-19	0.014	0.066	120	114	497	1134	3119	75	967	925	900	900	850	0	0	0
George-petawn-1	6	M	L2	petawn	e	mon	2t	fortis	28	465	0	NA	0	0	NA	NA	2no	2no	2no	45	77	-79	--undefined--	--undefined--	--undefined--	--undefined--	396	1433	2870	69	1300	1500	1700	1500	500	0	0	0
George-pwtyn-1	6	M	L2	pwtyn	w	mon	2t	fortis	41	397	0	NA	0	0	NA	NA	2no	2no	2no	87	99	-78	0.071	0.338	107	104	395	1008	3142	69	600	900	1000	1100	1000	0	0	0
